Project,Method,Metric,CV_Value,Experiment
JEdit,MAT,Precision_CV,2.6092197993540703e-16,MTO
JFreeChart,MAT,Precision_CV,1.5355781806710323e-16,MTO
JMeter,MAT,Precision_CV,0.0,MTO
JRuby,MAT,Precision_CV,1.2186860863064286e-16,MTO
SQuirrel,MAT,Precision_CV,0.0,MTO
Dubbo,MAT,Precision_CV,0.0,MTO
Gradle,MAT,Precision_CV,0.0,MTO
Groovy,MAT,Precision_CV,3.0584656325761896e-16,MTO
Hive,MAT,Precision_CV,1.4179093545659726e-16,MTO
Maven,MAT,Precision_CV,0.0,MTO
Poi,MAT,Precision_CV,0.0,MTO
SpringFramework,MAT,Precision_CV,0.0,MTO
Storm,MAT,Precision_CV,1.3123203600770174e-16,MTO
Tomcat,MAT,Precision_CV,1.4982766864037204e-16,MTO
Zookeeper,MAT,Precision_CV,1.713307136767217e-16,MTO
Ant,NLP,Precision_CV,0.1794372899288893,MTO
ArgoUML,NLP,Precision_CV,0.0504824914150533,MTO
Columba,NLP,Precision_CV,0.1320658938291458,MTO
EMF,NLP,Precision_CV,0.213236807377482,MTO
Hibernate,NLP,Precision_CV,0.0918943082157407,MTO
JEdit,NLP,Precision_CV,0.1287351316125089,MTO
JFreeChart,NLP,Precision_CV,0.1260854907494078,MTO
JMeter,NLP,Precision_CV,0.1273648997890672,MTO
JRuby,NLP,Precision_CV,0.0902830647881512,MTO
SQuirrel,NLP,Precision_CV,0.1370466005557145,MTO
Dubbo,NLP,Precision_CV,0.1311628987273511,MTO
Gradle,NLP,Precision_CV,0.1174912930197498,MTO
Groovy,NLP,Precision_CV,0.1381689999170189,MTO
Hive,NLP,Precision_CV,0.1700805817122271,MTO
Maven,NLP,Precision_CV,0.0943550118523557,MTO
Poi,NLP,Precision_CV,0.1500753758860715,MTO
SpringFramework,NLP,Precision_CV,0.2708977646105653,MTO
Storm,NLP,Precision_CV,0.2169822930595116,MTO
Tomcat,NLP,Precision_CV,0.210988157140671,MTO
Zookeeper,NLP,Precision_CV,0.2406160245473722,MTO
Ant,TM,Precision_CV,0.2542780389496951,MTO
ArgoUML,TM,Precision_CV,0.0908483999756488,MTO
Columba,TM,Precision_CV,0.1823280642764139,MTO
EMF,TM,Precision_CV,0.3281295805356736,MTO
Hibernate,TM,Precision_CV,0.1447745933276084,MTO
JEdit,TM,Precision_CV,0.1746436522398604,MTO
JFreeChart,TM,Precision_CV,0.1706079710357289,MTO
JMeter,TM,Precision_CV,0.1758776444031541,MTO
JRuby,TM,Precision_CV,0.1340805262246127,MTO
SQuirrel,TM,Precision_CV,0.2122709927955372,MTO
Dubbo,TM,Precision_CV,0.1680807066448638,MTO
Gradle,TM,Precision_CV,0.1785943461604314,MTO
Groovy,TM,Precision_CV,0.183798095323037,MTO
Hive,TM,Precision_CV,0.2545879977630016,MTO
Maven,TM,Precision_CV,0.12883965483232,MTO
Poi,TM,Precision_CV,0.2327382824265638,MTO
SpringFramework,TM,Precision_CV,0.3396048220885306,MTO
Storm,TM,Precision_CV,0.3041277786368838,MTO
Tomcat,TM,Precision_CV,0.2675051395076726,MTO
Zookeeper,TM,Precision_CV,0.2990919338029858,MTO
Ant,CNN,Precision_CV,0.0979003207133679,MTO
ArgoUML,CNN,Precision_CV,0.0484450277042993,MTO
Columba,CNN,Precision_CV,0.0236034522631411,MTO
EMF,CNN,Precision_CV,0.1187576361294927,MTO
Hibernate,CNN,Precision_CV,0.0334073594657759,MTO
JEdit,CNN,Precision_CV,0.0950125653548361,MTO
JFreeChart,CNN,Precision_CV,0.0882233027511409,MTO
JMeter,CNN,Precision_CV,0.0740619748271363,MTO
JRuby,CNN,Precision_CV,0.0278946066718211,MTO
SQuirrel,CNN,Precision_CV,0.0758980596107698,MTO
Dubbo,CNN,Precision_CV,0.1065853800286144,MTO
Gradle,CNN,Precision_CV,0.1070055872839702,MTO
Groovy,CNN,Precision_CV,0.0937827701975247,MTO
Hive,CNN,Precision_CV,0.0807557158717902,MTO
